Название продукта,Категория продукта,Цена продукта,Город
"Семга Атлантическая (Лосось) Охлажденная, 3-4 кг, Норвегия",Рыба,11 800 Т,Астана
Дорадо Охлажденная вес 300-400 гр/шт Турция,Рыба,7 590 Т,Астана
Сибас Охлажденный весом 300 - 400 гр/шт,Рыба,7 590 Т,Астана
Дорадо Охлажденная вес 400 - 600 гр./шт,Рыба,7 590 Т,Астана
Сибас Охлажденный 400 - 600 гр/шт,Рыба,7 590 Т,Астана
Стейк из Семги нарезка Подкова,Рыба,13 800 Т,Астана
"Семга Атлантическая охлажденная, 5-6 кг, Норвегия",Рыба,12 800 Т,Астана
Семга Атлантическая 5-6 кг замороженная,Рыба,6 490 Т,Астана
Лосось Малосольный филе на шкуре,Рыба,16 490 Т,Астана
Семга филе на шкуре холодного копчения ±500 гр,Рыба,16 890 Т,Астана
Филе Судака средний уп. 1 кг,Рыба,6 300 Т,Астана
Семга Замороженная размер 3-4 кг,Рыба,6 900 Т,Астана
"Филе из Охлажденной Семги (Лосося) вес 1,8 - 2 кг",Рыба,21 490 Т,Астана
Морской Окунь размер 300-500 гр,Рыба,4 600 Т,Астана
"Филе Сельди Матье, Голландия, чистое филе 600 гр",Рыба,14 800 Т,Астана
"Кета (Дикий лосось) стейк-подкова свежемороженый, размер 1-2 кг",Рыба,5 800 Т,Астана
"Малосольный Лосось (семга) нарезка слайсами, уп. 100 гр",Рыба,25 000 Т,Астана
Эсколар полутушка холодного копчения 300 гр,Рыба,15 800 Т,Астана
Скумбрия с/м (макрель атлантическая) 300-600 гр,Рыба,3 800 Т,Астана
Филе семги на шкуре свежемороженое 1-2 кг,Рыба,14 900 Т,Астана
Семга Замороженная размер 4/5 кг,Рыба,6 490 Т,Астана
Сибас охлажденный весом от 1000 до 1500 гр Турция,Рыба,12 990 Т,Астана
"Филе из Охлажденной Океанической Форели 1,5 кг",Рыба,21 490 Т,Астана
"Сибас Охлажденный 600 - 800 гр., Турция",Рыба,9 400 Т,Астана
Копченый Лосось (Семга) нарезка Слайсы ±100 гр,Рыба,25 000 Т,Астана
"Дорадо Охлажденная вес 600-800 гр., Турция",Рыба,9 400 Т,Астана
Сибас замороженный 300-400 гр.,Рыба,5 000 Т,Астана
Дорадо Замороженная 400-600 гр/шт,Рыба,5 190 Т,Астана
Тунец Еллоуфин Yellowfin филе уп. 350-550 гр.,Рыба,15 800 Т,Астана
Филе хека размер 60 - 200 грамм,Рыба,4 800 Т,Астана
Тилапия замороженная филе 1 кг/уп,Рыба,6 500 Т,Астана
"Палтус синекорый, ПБГ 2-4 кг Россия",Рыба,14 800 Т,Астана
"Угорь Копченый Унаги, филе для суши",Рыба,15 900 Т,Астана
Стейк из палтуса 1+ кг,Рыба,18 800 Т,Астана
Дорадо Охлажденная вес 1000-1500 гр/шт Турция,Рыба,12 990 Т,Астана
Треска филе без шкуры 450/900 гр,Рыба,6 200 Т,Астана
"Минтай свежемороженый без головы, 1 кг/уп",Рыба,2 100 Т,Астана
Дорадо Замороженная 300-400 гр/шт,Рыба,5 190 Т,Астана
"Треска черная б/г 7/10 lb (3-4.5 кг), вылов Канада",Рыба,43 000 Т,Астана
Снеппер Красный (Red Snapper),Рыба,14 800 Т,Астана
Филе Сельди малосольное KingFisher,Рыба,5 500 Т,Астана
Кета без головы 2-3 кг,Рыба,5 800 Т,Астана
Барабулька охл 150/450 Red Mullet (Султанка),Рыба,14 800 Т,Астана
"Сибас Охлажденный 800 - 1000 гр., Турция",Рыба,12 990 Т,Астана
Филе Сельди Матьес Беларусия 1 кг,Рыба,6 500 Т,Астана
"Морской язык 5%, филе, вес ±1.8 кг/уп",Рыба,3 700 Т,Астана
Форель радужная с/м 200-300 гр,Рыба,5 500 Т,Астана
Сибас замороженный 400-600 гр.,Рыба,4 800 Т,Астана
Слайсы из копченого Эсколара ±100 гр,Рыба,25 000 Т,Астана
Камбала замороженная вес 1+ кг,Рыба,3 800 Т,Астана
"Стейки из Осетра, уп. 800 грамм",Рыба,18 500 Т,Астана
Сардины в растительном масле Adriatic Queen 105 гр,Рыба,1 480 Т,Астана
Medusa салат из осьминога 200 гр,Рыба,5 900 Т,Астана
"Тунец Еллоуфин 50-100 гр, упаковка ±1кг",Рыба,8 500 Т,Астана
Семга охлажденная с/г 5/6 Чили,Рыба,11 590 Т,Астана
Треска филе на шкуре 1-1.3 кг,Рыба,6 200 Т,Астана
Тунец Еллоуфин Лойнс филе 2кг+,Рыба,9 000 Т,Астана
Филе Осетра Холодного копчения,Рыба,30 000 Т,Астана
Gastronomica Рыбные котлеты 600 гр/уп,Рыба,3 800 Т,Астана
Маринованное Филе Анчоуса Medusa 200 гр,Рыба,3 990 Т,Астана
Сибас Замороженный 800 - 1000,Рыба,5 000 Т,Астана
Сардины в растительном масле с лимоном Adriatic Queen 105 гр,Рыба,1 480 Т,Астана
Тунец Yellowfin филе уп. 500-800 гр,Рыба,16 500 Т,Астана
Семга роллы обрезки с/м 1 кг,Рыба,4 800 Т,Астана
Сардины в масле с перцем Чили Adriatic Queen 105 гр,Рыба,1 480 Т,Астана
Adriatic Queen Сардины в томатном соусе 105 гр,Рыба,1 480 Т,Астана
"Барамунди (белый морской окунь) вес 0,5 - 2 кг/шт",Рыба,14 800 Т,Астана
Филе судака крупное уп. 1 кг,Рыба,6 500 Т,Астана
Adriatic Queen Тунец филе в растительном масле 105 гр,Рыба,1 800 Т,Астана
Medusa Салат из осьминога 1000 гр,Рыба,22 800 Т,Астана
Сельдь свежемороженная 350-500 гр Норвегия,Рыба,2 600 Т,Астана
"Групер Каменный 0,5 - 2 кг/шт",Рыба,14 800 Т,Астана
Тунец в собственном соку Премиум Беринг 200 гр,Рыба,1 800 Т,Астана
Окунь филе на шкуре с/м 300-500 гр,Рыба,5 000 Т,Астана
Филе сардин Medusa 1000 гр,Рыба,17 500 Т,Астана
Филе макрели в оливковом масле Adriatic Queen 105 гр,Рыба,1 480 Т,Астана
Дорадо Замороженная 600-800 гр/шт,Рыба,4 900 Т,Астана
Осетр Копченый нарезка слайсы,Рыба,35 000 Т,Астана
Дорадо свежемороженная 1000-1500 гр/шт,Рыба,8 000 Т,Астана
Дорада Заморженая 800-1000 гр/шт Турция,Рыба,5 000 Т,Астана
Чилийский Сибас стейк-подкова,Рыба,55 000 Т,Астана
Сардины с овощами Adriatic Queen 105 гр,Рыба,1 480 Т,Астана
"Угольная рыба 1,5-2 кг",Рыба,10 500 Т,Астана
Pesce Azzurro Анчоусы в масле 46 гр ж/б,Рыба,1 800 Т,Астана
Черная Треска стейк-подкова,Рыба,55 000 Т,Астана
Pesce Azzurro Анчоусы в масле 140 гр ст/б,Рыба,4 200 Т,Астана
Pesce Azzurro Анчоусы в масле 720 гр ж/б,Рыба,17 500 Т,Астана
Тунец Альбакор филе,Рыба,8 500 Т,Астана
Сибас Чилийский с/м б/г 6/8,Рыба,45 000 Т,Астана
Макрель филе в растительном масле Adriatic Queen 105 гр,Рыба,1 480 Т,Астана
Сибас замороженный 600-800 гр,Рыба,4 900 Т,Астана
Семга охлажденная с/г 4/5 Чили,Рыба,11 590 Т,Астана
Окунь 500-700 гр свежемороженный без головы,Рыба,3 890 Т,Астана
Семга филе на шкуре холодного копчения (целый пласт),Рыба,16 490 Т,Астана
Хек тушка 450/600 Уругвай,Рыба,4 200 Т,Астана
Дорадо тушка горячего копчения до 800 гр,Рыба,9 990 Т,Астана
Сибас тушка горячего копчения до 800 гр,Рыба,9 990 Т,Астана
Беринг Печень трески с/к 230 гр,Рыба,3 800 Т,Астана
Pesce Azzurro Анчоусы в масле 78 гр ст/б,Рыба,3 300 Т,Астана
Беринг Печень трески ст/б 230 гр,Рыба,4 300 Т,Астана
Тунец для салатов в собственном соку Беринг 185 гр,Рыба,1 600 Т,Астана
Pesce Azzurro Тунец в оливковом масле 270 гр ст/б,Рыба,5 200 Т,Астана
Палтус филе на шкуре холодного копчения,Рыба,26 800 Т,Астана
Pesce Azzurro Тунец в оливковом масле 190 гр ст/б,Рыба,3 500 Т,Астана
