Название продукта,Категория продукта,Цена продукта,Город
"Семга Атлантическая (Лосось) Охлажденная, 3-4 кг, Норвегия",Рыба,11 800 Т,Алматы
Дорадо Охлажденная вес 300-400 гр/шт Турция,Рыба,7 590 Т,Алматы
Сибас Охлажденный весом 300 - 400 гр/шт,Рыба,7 590 Т,Алматы
Дорадо Охлажденная вес 400 - 600 гр./шт,Рыба,7 590 Т,Алматы
Сибас Охлажденный 400 - 600 гр/шт,Рыба,7 590 Т,Алматы
Стейк из Семги нарезка Подкова,Рыба,13 800 Т,Алматы
"Семга Атлантическая охлажденная, 5-6 кг, Норвегия",Рыба,12 800 Т,Алматы
Семга Атлантическая 5-6 кг замороженная,Рыба,6 490 Т,Алматы
Лосось Малосольный филе на шкуре,Рыба,16 490 Т,Алматы
Семга филе на шкуре холодного копчения ±500 гр,Рыба,16 890 Т,Алматы
Филе Судака средний уп. 1 кг,Рыба,6 300 Т,Алматы
Семга Замороженная размер 3-4 кг,Рыба,6 900 Т,Алматы
"Филе из Охлажденной Семги (Лосося) вес 1,8 - 2 кг",Рыба,21 490 Т,Алматы
Морской Окунь размер 300-500 гр,Рыба,4 600 Т,Алматы
"Филе Сельди Матье, Голландия, чистое филе 600 гр",Рыба,14 800 Т,Алматы
"Кета (Дикий лосось) стейк-подкова свежемороженый, размер 1-2 кг",Рыба,5 800 Т,Алматы
"Малосольный Лосось (семга) нарезка слайсами, уп. 100 гр",Рыба,25 000 Т,Алматы
Эсколар полутушка холодного копчения 300 гр,Рыба,15 800 Т,Алматы
Скумбрия с/м (макрель атлантическая) 300-600 гр,Рыба,3 800 Т,Алматы
Филе семги на шкуре свежемороженое 1-2 кг,Рыба,14 900 Т,Алматы
Семга Замороженная размер 4/5 кг,Рыба,6 490 Т,Алматы
Сибас охлажденный весом от 1000 до 1500 гр Турция,Рыба,12 990 Т,Алматы
"Филе из Охлажденной Океанической Форели 1,5 кг",Рыба,21 490 Т,Алматы
"Сибас Охлажденный 600 - 800 гр., Турция",Рыба,9 400 Т,Алматы
Копченый Лосось (Семга) нарезка Слайсы ±100 гр,Рыба,25 000 Т,Алматы
"Дорадо Охлажденная вес 600-800 гр., Турция",Рыба,9 400 Т,Алматы
Сибас замороженный 300-400 гр.,Рыба,5 000 Т,Алматы
Дорадо Замороженная 400-600 гр/шт,Рыба,5 190 Т,Алматы
Тунец Еллоуфин Yellowfin филе уп. 350-550 гр.,Рыба,15 800 Т,Алматы
Филе хека размер 60 - 200 грамм,Рыба,4 800 Т,Алматы
Тилапия замороженная филе 1 кг/уп,Рыба,6 500 Т,Алматы
"Палтус синекорый, ПБГ 2-4 кг Россия",Рыба,14 800 Т,Алматы
"Угорь Копченый Унаги, филе для суши",Рыба,15 900 Т,Алматы
Стейк из палтуса 1+ кг,Рыба,18 800 Т,Алматы
Дорадо Охлажденная вес 1000-1500 гр/шт Турция,Рыба,12 990 Т,Алматы
Треска филе без шкуры 450/900 гр,Рыба,6 200 Т,Алматы
"Минтай свежемороженый без головы, 1 кг/уп",Рыба,2 100 Т,Алматы
Дорадо Замороженная 300-400 гр/шт,Рыба,5 190 Т,Алматы
"Треска черная б/г 7/10 lb (3-4.5 кг), вылов Канада",Рыба,43 000 Т,Алматы
